satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,left,promotion_last_5years,department_IT,department_RandD,department_accounting,department_hr,department_management,department_marketing,department_product_mng,department_sales,department_support,department_technical,salary_high,salary_low,salary_medium
0.89,0.92,5,237,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.52,0.67,4,182,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.71,0.81,3,141,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.34,0.67,4,141,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.09,0.92,7,245,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.62,0.91,5,267,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.79,0.87,5,261,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.11,0.85,6,308,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.62,0.49,4,218,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.43,0.51,2,128,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.93,0.62,4,258,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.91,1.0,4,251,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.1,0.96,6,275,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.63,0.61,3,234,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.61,0.87,3,185,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.85,1.0,4,225,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.3,0.71,3,155,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.72,0.85,5,244,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.42,0.53,2,132,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.09,0.79,6,275,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.72,0.96,5,267,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.9,0.96,5,243,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.21,0.5,5,255,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.39,0.55,2,152,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.38,0.49,2,137,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.91,0.66,5,212,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.4,0.37,3,123,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.43,0.5,2,127,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.85,0.89,4,251,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.1,0.97,6,267,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.77,0.75,3,170,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.45,0.5,2,147,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.79,0.94,3,204,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.37,0.45,2,149,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.38,0.55,2,134,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.92,0.78,4,212,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.66,0.89,4,173,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.4,0.57,2,151,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.77,0.75,3,272,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.87,0.97,5,250,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.74,1.0,5,275,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.37,0.57,2,130,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.37,0.52,2,158,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.32,0.97,6,272,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.87,1.0,5,261,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.14,0.62,4,158,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.53,0.85,2,164,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.67,0.55,5,193,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.82,0.87,4,239,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.84,0.73,3,181,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.43,0.49,2,135,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.88,0.62,4,237,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.41,0.61,3,185,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.96,0.83,3,177,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.43,0.44,5,213,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.54,0.76,3,183,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.25,0.67,2,136,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.72,1.0,4,169,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.38,0.55,2,145,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.69,0.87,5,174,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.45,0.37,6,226,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.1,0.8,7,281,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.69,0.68,5,167,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.63,0.96,4,133,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.4,0.5,2,141,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.76,0.9,4,263,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.41,0.68,4,273,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.44,0.54,2,139,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.45,0.75,4,169,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.38,0.86,6,139,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.74,1.0,5,248,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.44,0.56,2,133,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.38,0.53,2,146,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.61,0.94,3,224,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.94,0.99,2,273,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.6,0.49,2,194,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.88,0.72,5,181,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.6,0.85,2,226,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.76,0.56,3,179,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.65,0.75,4,270,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.62,0.55,4,218,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.13,0.78,6,152,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.69,0.64,3,286,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.47,0.5,4,254,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.45,0.47,2,160,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.1,0.96,6,254,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.38,0.46,2,137,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.3,0.47,2,159,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.67,0.85,3,153,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.75,0.86,6,148,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.42,0.49,2,152,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.14,0.73,7,282,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.87,0.98,4,248,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.82,0.97,5,263,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.69,0.57,5,227,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.7,0.92,4,142,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.89,0.91,5,260,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.6,0.61,3,195,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.09,0.94,7,267,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.53,0.97,3,189,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.28,0.83,5,279,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.75,0.99,5,254,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.59,0.76,3,264,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.53,0.97,4,249,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.34,0.51,3,105,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.8,0.5,4,125,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.39,0.54,2,127,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.7,0.89,3,183,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.91,0.99,5,265,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.11,0.87,7,282,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.83,1.0,5,240,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.93,0.59,5,158,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.91,0.59,4,133,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.45,0.57,2,134,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.82,0.85,4,274,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.97,0.92,3,168,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.9,0.53,3,270,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.57,0.76,2,176,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.93,0.87,4,218,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.71,0.66,3,238,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.92,0.65,4,135,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.7,0.84,6,161,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.3,0.47,4,176,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.92,0.84,4,159,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.45,0.6,6,176,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.1,0.8,7,281,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.11,0.8,6,306,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.84,0.65,3,269,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.84,1.0,5,242,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.38,0.53,2,146,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.1,0.55,2,247,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.69,0.53,3,153,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.89,0.77,4,269,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.37,0.49,2,151,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.27,0.42,6,173,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.51,0.89,4,233,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.73,0.89,5,223,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.23,0.64,3,228,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.76,0.8,5,217,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.59,0.93,4,146,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.36,0.78,2,151,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.44,0.5,2,130,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.58,0.48,5,251,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.97,1.0,3,198,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.5,0.96,4,147,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.09,0.89,6,282,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.79,0.82,5,158,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.74,0.76,5,104,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.74,0.54,5,221,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.77,0.9,4,237,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.11,0.81,6,266,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.43,0.5,2,161,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.82,0.85,4,223,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.56,0.66,3,212,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.78,0.87,4,236,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.43,0.54,2,153,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.42,0.56,2,158,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.54,0.84,4,174,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.45,0.53,2,159,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.37,0.4,4,161,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.84,0.49,4,178,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.1,0.8,6,264,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.91,0.99,5,254,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.37,0.72,3,169,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.7,0.67,4,224,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.53,0.86,3,150,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.39,0.48,3,169,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.79,0.78,2,228,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,0.95,3,275,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.83,0.62,4,242,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.59,0.9,4,173,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.91,0.91,4,262,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.84,0.74,2,168,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.8,0.85,4,264,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.11,0.85,6,261,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.87,0.86,3,196,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.66,0.75,5,227,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.8,0.58,4,189,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.61,1.0,5,243,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.43,0.53,2,150,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.83,0.92,4,235,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.54,0.61,4,118,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.79,0.86,5,235,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.39,0.53,2,131,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.82,0.89,4,237,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.69,0.54,3,164,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.1,0.97,6,280,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.36,0.56,2,137,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.8,0.68,4,157,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.7,0.66,4,168,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.74,0.56,3,203,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.11,0.95,6,279,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.81,0.83,5,269,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.83,0.55,5,250,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.41,0.48,2,148,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.58,0.98,3,146,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.44,0.47,2,130,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.98,0.58,4,133,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.42,0.46,2,147,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.84,0.5,5,195,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.1,0.9,7,286,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.78,1.0,5,236,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.43,0.51,2,132,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,0.55,4,186,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.88,0.67,4,226,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.83,0.62,4,218,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.11,0.8,7,296,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.92,0.85,5,259,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.6,0.97,5,145,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.72,0.76,4,189,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.86,0.71,4,250,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.79,0.94,4,232,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.52,0.8,2,144,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.56,0.68,3,269,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.42,0.48,2,143,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.21,0.58,7,203,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.11,0.89,6,306,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.37,0.46,2,153,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.99,0.8,5,254,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.39,0.67,6,276,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.77,0.91,5,261,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.44,0.5,2,156,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.4,0.51,2,160,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.66,0.56,3,169,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.4,0.46,2,130,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.46,0.57,2,139,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.59,0.65,5,161,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.21,0.81,5,169,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.37,0.55,2,140,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.41,0.45,2,150,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.1,0.89,6,246,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.33,0.41,2,198,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.11,0.84,6,251,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.24,0.7,5,147,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.5,0.73,4,237,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.72,0.85,5,244,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.52,0.53,5,182,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.81,0.92,5,255,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.24,0.76,6,213,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.89,0.84,6,196,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.9,0.7,5,206,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.9,0.48,3,213,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.52,0.73,2,233,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.75,0.75,5,133,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.57,0.72,4,275,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.74,0.76,5,255,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.87,0.9,5,258,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.11,0.8,6,282,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.37,0.54,2,132,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.11,0.88,7,272,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.75,0.84,3,145,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.58,0.54,4,199,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.91,0.93,5,158,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.43,0.57,2,135,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.73,0.61,4,260,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.84,0.88,5,237,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.9,0.57,4,185,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.49,0.94,3,144,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.44,0.5,2,128,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.94,0.57,3,166,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.15,0.91,5,267,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.4,0.47,2,146,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.84,0.93,4,251,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.11,0.84,6,300,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
